user,day,numdistinctRecipientsDay,numdistinctRecipientsNight,numinternalRecipientsDay,numinternalRecipientsNight
IPK2575,2010-01-09,0,19,0,6
IWG0058,2010-01-09,0,14,0,3
JAF0209,2010-01-09,0,39,0,12
JCH2505,2010-01-09,0,24,0,5
JCP1462,2010-01-09,0,5,0,2
JDM1042,2010-01-09,0,23,0,10
JEM0546,2010-01-09,0,18,0,2
JET2299,2010-01-09,0,8,0,2
JEV3132,2010-01-09,0,16,0,9
JEW2141,2010-01-09,0,14,0,7
JHK1849,2010-01-09,0,13,0,5
JKC2754,2010-01-09,0,8,0,4
JKG0944,2010-01-09,0,10,0,2
JKS2444,2010-01-09,0,18,0,6
JLC0216,2010-01-09,0,29,0,10
JLM3847,2010-01-09,0,23,0,7
JPC2507,2010-01-09,0,20,0,5
JWM0484,2010-01-09,0,6,0,3
KAG0689,2010-01-09,0,22,0,8
KCH2475,2010-01-09,0,20,0,8
KCL2310,2010-01-09,0,12,0,1
KCO1253,2010-01-09,0,17,0,6
KCR2291,2010-01-09,0,10,0,1
KEF0629,2010-01-09,0,21,0,6
KEM1208,2010-01-09,0,10,0,3
KJS1940,2010-01-09,0,18,0,6
KMR0682,2010-01-09,0,17,0,8
KOR1163,2010-01-09,0,12,0,8
KPB1123,2010-01-09,0,14,0,3
KPS3882,2010-01-09,0,14,0,7
KSO2224,2010-01-09,0,2,0,0
LAN1329,2010-01-09,0,16,0,7
LBM0614,2010-01-09,0,20,0,4
LCC1963,2010-01-09,0,18,0,6
LCP0344,2010-01-09,0,3,0,1
LJC0191,2010-01-09,0,15,0,4
LJE2413,2010-01-09,0,26,0,9
LSN1672,2010-01-09,0,21,0,14
LTW1378,2010-01-09,0,16,0,6
LWB2851,2010-01-09,0,2,0,1
LXE2139,2010-01-09,0,14,0,7
LXS0332,2010-01-09,0,19,0,9
MAM2363,2010-01-09,0,9,0,3
MAW0532,2010-01-09,0,16,0,4
MBA1797,2010-01-09,0,23,0,7
MBH0527,2010-01-09,0,22,0,7
MCK0435,2010-01-09,0,15,0,9
MET1881,2010-01-09,0,22,0,5
MMR1695,2010-01-09,0,10,0,2
MMS0241,2010-01-09,0,20,0,7
MWG1570,2010-01-09,0,5,0,1
NBT3447,2010-01-09,0,9,0,1
NMM1560,2010-01-09,0,2,0,0
NNM2862,2010-01-09,0,4,0,0
NRN1312,2010-01-09,0,17,0,9
OCH2853,2010-01-09,0,2,0,1
OKH3777,2010-01-09,0,26,0,7
ONR3291,2010-01-09,0,2,0,0
ORH2010,2010-01-09,0,18,0,8
PJC1252,2010-01-09,0,20,0,8
PKR1145,2010-01-09,0,15,0,9
PNH1444,2010-01-09,0,26,0,2
PPP1295,2010-01-09,0,22,0,8
QAH1315,2010-01-09,0,15,0,8
RAA1455,2010-01-09,0,15,0,8
RCF0044,2010-01-09,0,15,0,7
RCH2447,2010-01-09,0,20,0,7
RJH0219,2010-01-09,0,20,0,2
RLP3268,2010-01-09,0,3,0,0
RTP0754,2010-01-09,0,20,0,7
RTS2009,2010-01-09,0,16,0,9
SAB1954,2010-01-09,0,21,0,5
SAB3860,2010-01-09,0,27,0,6
SAD3259,2010-01-09,0,2,0,1
SAR2066,2010-01-09,0,14,0,8
SDH1556,2010-01-09,0,2,0,0
SER0621,2010-01-09,0,24,0,6
SFC2336,2010-01-09,0,36,0,6
SKS0339,2010-01-09,0,5,0,1
SLC1588,2010-01-09,0,41,0,9
SOB0089,2010-01-09,0,19,0,8
SRS0129,2010-01-09,0,25,0,8
TAP0664,2010-01-09,0,14,0,4
TDJ3138,2010-01-09,0,12,0,9
TGH3351,2010-01-09,0,28,0,10
TKM1539,2010-01-09,0,2,0,1
TKP0210,2010-01-09,0,19,0,6
TMC3659,2010-01-09,0,4,0,0
TPS1568,2010-01-09,0,2,0,1
TRH1083,2010-01-09,0,13,0,9
TZY3133,2010-01-09,0,22,0,8
UCW2995,2010-01-09,0,20,0,7
URC2874,2010-01-09,0,28,0,13
VAC3966,2010-01-09,0,2,0,1
VCF3273,2010-01-09,0,5,0,1
VEB3671,2010-01-09,0,5,0,1
VPS3185,2010-01-09,0,17,0,2
WAF3438,2010-01-09,0,40,0,9
WBB2321,2010-01-09,0,29,0,8
WMA2016,2010-01-09,0,8,0,3
WMR2685,2010-01-09,0,21,0,8
XFF1302,2010-01-09,0,15,0,7
XTB2372,2010-01-09,0,8,0,3
YCL0824,2010-01-09,0,14,0,4
YKM3542,2010-01-09,0,15,0,5
YKW3832,2010-01-09,0,21,0,4
YRW0842,2010-01-09,0,4,0,0
ZAR0404,2010-01-09,0,11,0,9
ZDC2523,2010-01-09,0,21,0,5
ZJS2648,2010-01-09,0,20,0,5
ZRM0694,2010-01-09,0,23,0,8
AAB0162,2010-01-12,19,0,8,0
AAB0398,2010-01-12,15,4,5,1
AAC0610,2010-01-12,10,4,1,1
AAC0668,2010-01-12,26,0,6,0
AAC3270,2010-01-12,6,0,1,0
AAD2188,2010-01-12,2,0,0,0
AAD3030,2010-01-12,26,5,9,1
AAF0819,2010-01-12,15,0,4,0
AAF3937,2010-01-12,0,2,0,0
AAG1447,2010-01-12,21,0,5,0
AAG3799,2010-01-12,33,5,12,1
AAH0721,2010-01-12,13,0,7,0
AAM0138,2010-01-12,14,0,11,0
AAM0729,2010-01-12,2,4,1,1
AAP0352,2010-01-12,9,0,3,0
AAP1919,2010-01-12,24,0,8,0
AAP1942,2010-01-12,16,0,8,0
AAR0641,2010-01-12,9,14,4,2
AAS0144,2010-01-12,14,6,6,2
AAS2987,2010-01-12,7,0,1,0
AAS3428,2010-01-12,27,0,8,0
AAT2913,2010-01-12,11,0,1,0
AAV3669,2010-01-12,0,2,0,1
AAW0894,2010-01-12,2,0,0,0
ABB0167,2010-01-12,18,0,4,0
ABB0300,2010-01-12,2,0,1,0
ABC3523,2010-01-12,9,16,2,3
ABD3426,2010-01-12,26,0,11,0
ABE2352,2010-01-12,9,0,0,0
ABG2353,2010-01-12,0,10,0,1
ABG3605,2010-01-12,19,10,0,3
ABH0349,2010-01-12,2,0,0,0
ABH1181,2010-01-12,14,4,4,2
ABH2671,2010-01-12,17,6,6,1
ABJ0281,2010-01-12,21,0,6,0
ABK0481,2010-01-12,7,0,0,0
ABK3081,2010-01-12,10,11,2,2
ABL0870,2010-01-12,5,0,1,0
ABM3203,2010-01-12,20,0,7,0
ABM3641,2010-01-12,0,3,0,0
ABM3687,2010-01-12,5,0,0,0
ABM3772,2010-01-12,21,14,12,3
ABM3776,2010-01-12,28,0,12,0
ABO1173,2010-01-12,17,6,5,0
ABP2003,2010-01-12,17,6,6,0
ABP2917,2010-01-12,9,0,1,0
ABR0397,2010-01-12,10,0,3,0
ABS0677,2010-01-12,12,4,5,1
ABW0501,2010-01-12,20,3,3,2
ACA0360,2010-01-12,0,9,0,4
ACA3252,2010-01-12,4,0,0,0
ACB0701,2010-01-12,12,0,2,0
ACB3123,2010-01-12,2,14,1,5
ACC2773,2010-01-12,13,10,3,0
ACF1806,2010-01-12,15,8,3,2
ACG0312,2010-01-12,0,5,0,1
ACG3819,2010-01-12,11,0,3,0
ACH0008,2010-01-12,44,7,17,2
ACH1405,2010-01-12,0,2,0,0
ACH1910,2010-01-12,24,0,7,0
ACH2102,2010-01-12,21,0,5,0
ACJ0014,2010-01-12,27,7,11,2
ACL2943,2010-01-12,4,29,1,9
ACM0100,2010-01-12,11,0,8,0
ACM2278,2010-01-12,22,0,7,0
ACM3964,2010-01-12,0,5,0,1
ACN2347,2010-01-12,7,0,0,0
ACP2122,2010-01-12,20,0,5,0
ACR0331,2010-01-12,21,0,6,0
ACR0748,2010-01-12,12,2,7,1
ACS0128,2010-01-12,20,2,4,0
ACS1921,2010-01-12,16,0,3,0
ACV1946,2010-01-12,11,2,5,0
ACW0426,2010-01-12,9,0,1,0
ACW0464,2010-01-12,26,0,7,0
ACW1707,2010-01-12,26,0,10,0
ADB0350,2010-01-12,13,3,8,2
ADB1105,2010-01-12,20,0,8,0
ADB3853,2010-01-12,5,25,1,6
ADC1469,2010-01-12,13,4,8,1
ADG1430,2010-01-12,2,20,1,2
ADG1737,2010-01-12,27,3,5,2
ADH0975,2010-01-12,7,0,3,0
ADM0158,2010-01-12,7,13,0,6
ADM0765,2010-01-12,14,4,7,1
ADM0923,2010-01-12,27,0,12,0
ADM1894,2010-01-12,16,0,5,0
ADM2762,2010-01-12,18,12,3,1
ADP1625,2010-01-12,7,0,3,0
ADP3667,2010-01-12,0,6,0,1
ADR1517,2010-01-12,4,0,1,0
ADS0763,2010-01-12,4,14,1,5
ADS2428,2010-01-12,11,12,3,4
ADS2950,2010-01-12,26,0,11,0
ADV1640,2010-01-12,8,0,1,0
ADV2467,2010-01-12,11,0,9,0
ADW2832,2010-01-12,2,0,1,0
AEB1458,2010-01-12,16,4,6,1
AEB3249,2010-01-12,16,0,9,0
AEB3574,2010-01-12,17,2,8,1
AED1421,2010-01-12,18,6,5,1
AEF2019,2010-01-12,24,0,5,0
AEG1121,2010-01-12,4,10,1,6
AEH0187,2010-01-12,19,0,4,0
AEH2020,2010-01-12,3,13,0,5
AEK3566,2010-01-12,25,0,6,0
AEM0554,2010-01-12,8,10,3,3
AEP1930,2010-01-12,14,0,6,0
AEW1442,2010-01-12,15,0,8,0
AFB0904,2010-01-12,6,0,1,0
AFB1626,2010-01-12,0,6,0,2
AFB3228,2010-01-12,15,0,3,0
AFF1492,2010-01-12,6,0,1,0
AFH1757,2010-01-12,29,0,10,0
AFK3800,2010-01-12,4,30,1,12
AFP2247,2010-01-12,3,0,1,0
AFP2709,2010-01-12,21,0,3,0
AGB0057,2010-01-12,17,0,5,0
AGB3303,2010-01-12,4,0,1,0
AGC0445,2010-01-12,13,0,10,0
AGE1244,2010-01-12,21,0,8,0
AGF0742,2010-01-12,11,2,5,1
AGF1810,2010-01-12,15,0,9,0
AGF2302,2010-01-12,12,0,3,0
AGG3958,2010-01-12,0,4,0,1
AGL1301,2010-01-12,19,0,7,0
AGL3519,2010-01-12,19,0,6,0
AGM0133,2010-01-12,16,0,10,0
AGM3372,2010-01-12,29,0,8,0
AGM3504,2010-01-12,26,0,4,0
AGS0063,2010-01-12,19,2,8,1
AGS2462,2010-01-12,14,2,5,1
AGW1590,2010-01-12,20,3,10,0
AHB0648,2010-01-12,22,5,5,0
AHC0232,2010-01-12,10,0,2,0
AHC1994,2010-01-12,14,0,3,0
AHC3277,2010-01-12,0,2,0,1
AHD2457,2010-01-12,10,11,3,6
AHG1408,2010-01-12,13,4,7,0
AHG3997,2010-01-12,6,0,1,0
AHH0495,2010-01-12,24,0,3,0
AHH1966,2010-01-12,19,0,7,0
AHK1988,2010-01-12,6,20,1,4
AHM0959,2010-01-12,6,24,1,8
AHP0154,2010-01-12,13,0,1,0
AHS2348,2010-01-12,10,2,2,0
AIA2005,2010-01-12,14,2,6,1
AIB0553,2010-01-12,21,0,5,0
AIB1567,2010-01-12,2,0,1,0
AIB3416,2010-01-12,29,0,9,0
AIC1071,2010-01-12,15,0,9,0
AID2774,2010-01-12,2,0,1,0
AIF1202,2010-01-12,23,0,7,0
AIH2535,2010-01-12,6,0,3,0
AIJ0383,2010-01-12,34,0,13,0
AIJ3995,2010-01-12,4,0,1,0
AIL2511,2010-01-12,9,13,1,7
AIP1614,2010-01-12,9,0,1,0
AIS1082,2010-01-12,15,0,8,0
AIT1264,2010-01-12,17,0,4,0
AIV3936,2010-01-12,2,0,1,0
AIY3991,2010-01-12,5,0,1,0
AJB1380,2010-01-12,16,0,6,0
AJC0722,2010-01-12,19,0,7,0
AJC3010,2010-01-12,5,4,1,1
AJG0240,2010-01-12,10,14,2,7
AJH0279,2010-01-12,18,0,7,0
AJH2110,2010-01-12,0,15,0,3
AJH3517,2010-01-12,13,0,9,0
AJK0611,2010-01-12,17,7,3,2
AJM0243,2010-01-12,14,0,2,0
AJM0345,2010-01-12,3,0,0,0
AJM2385,2010-01-12,35,9,13,3
AJN1275,2010-01-12,15,0,8,0
AJO2788,2010-01-12,2,0,0,0
AJP1199,2010-01-12,19,0,3,0
AJQ0809,2010-01-12,19,4,3,0
AJS0616,2010-01-12,11,0,8,0
AJS3021,2010-01-12,28,0,9,0
AJS3899,2010-01-12,14,9,4,0
AJV0176,2010-01-12,17,0,6,0
AJW1246,2010-01-12,19,0,8,0
AKB2312,2010-01-12,6,2,2,1
AKB3530,2010-01-12,7,0,5,0
AKC1929,2010-01-12,20,0,5,0
AKC3739,2010-01-12,36,6,8,2
AKD0272,2010-01-12,5,22,3,7
AKG2702,2010-01-12,17,0,6,0
AKH0454,2010-01-12,21,0,13,0
AKH1534,2010-01-12,2,0,0,0
AKI3229,2010-01-12,15,0,5,0
AKK2125,2010-01-12,17,0,7,0
AKL1305,2010-01-12,9,8,2,1
AKL1605,2010-01-12,15,9,8,2
AKP3573,2010-01-12,23,0,7,0
AKS0298,2010-01-12,15,0,2,0
AKS3496,2010-01-12,0,8,0,0
AKS3705,2010-01-12,2,0,1,0
AKW1679,2010-01-12,5,7,1,0
ALB1254,2010-01-12,23,0,6,0
ALB2395,2010-01-12,22,15,7,6
ALB3649,2010-01-12,6,0,1,0
ALC1060,2010-01-12,17,0,8,0
ALD3508,2010-01-12,18,8,3,3
ALH1494,2010-01-12,6,0,1,0
ALH1872,2010-01-12,21,0,6,0
ALH2916,2010-01-12,6,0,0,0
ALL0289,2010-01-12,10,7,1,2
ALN2046,2010-01-12,10,2,8,0
ALP2955,2010-01-12,40,0,9,0
ALS2596,2010-01-12,10,15,1,6
ALS2669,2010-01-12,18,0,4,0
ALS3440,2010-01-12,30,0,6,0
ALT1354,2010-01-12,17,0,7,0
AMA2808,2010-01-12,0,5,0,0
AMB3100,2010-01-12,6,12,0,4
AMB3208,2010-01-12,2,16,1,8
AMD2728,2010-01-12,16,5,6,0
AME0732,2010-01-12,10,0,1,0
AME1361,2010-01-12,9,14,2,2
AME1490,2010-01-12,5,0,1,0
AMH1481,2010-01-12,19,0,8,0
AMH3562,2010-01-12,11,12,2,4
AMJ2374,2010-01-12,30,0,13,0
AMJ3174,2010-01-12,15,0,9,0
AMM0734,2010-01-12,20,0,8,0
AMM3906,2010-01-12,14,7,6,2
AMN0911,2010-01-12,30,0,7,0
AMO0582,2010-01-12,15,5,3,1
AMR0197,2010-01-12,18,0,6,0
AMS0630,2010-01-12,14,3,6,1
AMS0712,2010-01-12,2,9,1,1
ANB0938,2010-01-12,6,0,1,0
ANB2766,2010-01-12,0,7,0,3
ANC1319,2010-01-12,17,8,2,1
ANC1834,2010-01-12,10,8,4,1
ANC1950,2010-01-12,16,2,6,1
ANF3332,2010-01-12,2,0,0,0
ANH2482,2010-01-12,23,0,4,0
ANH3059,2010-01-12,14,6,2,4
ANK0777,2010-01-12,17,0,6,0
ANL3024,2010-01-12,17,0,11,0
ANM0564,2010-01-12,12,5,4,2
ANO2653,2010-01-12,16,0,4,0
AOC0982,2010-01-12,6,0,0,0
AOM1457,2010-01-12,16,2,9,1
AOP1542,2010-01-12,5,0,0,0
APA1788,2010-01-12,8,7,1,3
APB1122,2010-01-12,18,0,3,0
APB3823,2010-01-12,6,0,2,0
APC3043,2010-01-12,20,7,4,2
APD0381,2010-01-12,27,5,7,1
APH2985,2010-01-12,3,4,1,2
APM0190,2010-01-12,2,16,1,10
APP1054,2010-01-12,20,7,6,1
APP1996,2010-01-12,19,0,6,0
APP2488,2010-01-12,0,26,0,6
APP3678,2010-01-12,0,2,0,1
APS1968,2010-01-12,17,0,4,0
APS3553,2010-01-12,14,5,1,2
APS3701,2010-01-12,5,0,1,0
ARB0208,2010-01-12,28,0,13,0
ARB2515,2010-01-12,18,0,1,0
ARB3934,2010-01-12,0,4,0,0
ARC1223,2010-01-12,21,0,4,0
ARC1725,2010-01-12,34,0,7,0
ARC2809,2010-01-12,4,0,1,0
ARC3034,2010-01-12,34,0,8,0
ARF0575,2010-01-12,26,0,5,0
ARG0441,2010-01-12,3,10,0,4
ARG3554,2010-01-12,21,2,4,0
ARH1610,2010-01-12,25,0,12,0
ARH2097,2010-01-12,8,15,4,3
ARH2262,2010-01-12,14,24,4,3
ARJ0912,2010-01-12,41,0,10,0
ARK3198,2010-01-12,16,0,2,0
ARL2672,2010-01-12,0,16,0,5
ARM0076,2010-01-12,11,0,3,0
ARM0771,2010-01-12,14,0,7,0
ARP1144,2010-01-12,3,16,0,6
ARS3506,2010-01-12,17,9,1,0
ARV0704,2010-01-12,21,0,5,0
ARW0818,2010-01-12,0,15,0,7
ARW1507,2010-01-12,6,0,1,0
ARZ3464,2010-01-12,8,0,2,0
ASC0177,2010-01-12,0,19,0,4
ASD0993,2010-01-12,21,20,6,1
ASF1136,2010-01-12,11,0,9,0
ASG0072,2010-01-12,23,17,5,3
ASH0142,2010-01-12,19,0,4,0
ASH1710,2010-01-12,37,3,9,0
ASK0599,2010-01-12,13,8,5,3
ASK2349,2010-01-12,10,0,1,0
ASM3771,2010-01-12,34,0,9,0
ASM3925,2010-01-12,2,0,1,0
ASP2895,2010-01-12,26,0,11,0
ASS0120,2010-01-12,17,4,8,1
ASS0280,2010-01-12,14,6,6,0
ASS2760,2010-01-12,7,12,0,5
ASW1918,2010-01-12,21,0,6,0
ATB1273,2010-01-12,18,0,5,0
ATC0218,2010-01-12,0,20,0,6
ATC1587,2010-01-12,21,22,2,8
ATD0146,2010-01-12,18,2,12,0
ATF3708,2010-01-12,5,0,1,0
ATF3951,2010-01-12,2,0,1,0
ATH0225,2010-01-12,23,0,12,0
ATH0720,2010-01-12,0,16,0,7
ATM1003,2010-01-12,18,24,6,7
ATM1615,2010-01-12,10,0,1,0
ATP2680,2010-01-12,16,0,8,0
ATR1677,2010-01-12,7,0,0,0
ATR2560,2010-01-12,17,3,4,0
ATR3231,2010-01-12,19,0,3,0
ATT0293,2010-01-12,13,6,2,2
ATT1191,2010-01-12,27,0,8,0
AUA0826,2010-01-12,18,0,3,0
AUG2242,2010-01-12,4,0,1,0
AUI2464,2010-01-12,5,0,0,0
AUR1359,2010-01-12,13,0,5,0
AVC2328,2010-01-12,33,13,8,3
AVH0566,2010-01-12,17,0,7,0
AVH2360,2010-01-12,7,0,2,0
AVH3584,2010-01-12,0,15,0,8
AVP3044,2010-01-12,18,0,9,0
AVS2317,2010-01-12,34,0,8,0
AVT0526,2010-01-12,18,0,8,0
AVV2056,2010-01-12,12,2,7,1
AWB2282,2010-01-12,36,3,10,1
AWH2466,2010-01-12,4,12,3,3
AWM2286,2010-01-12,10,0,1,0
AWV0836,2010-01-12,8,2,0,0
AWW0254,2010-01-12,19,0,5,0
AXL0479,2010-01-12,8,0,2,0
AXW3243,2010-01-12,0,23,0,10
AYA3962,2010-01-12,0,2,0,1
AYD2775,2010-01-12,0,3,0,1
AYL1635,2010-01-12,7,0,2,0
AYP3586,2010-01-12,2,14,1,6
AYS0110,2010-01-12,11,11,1,5
AYS1628,2010-01-12,4,4,1,1
AZA1012,2010-01-12,44,2,12,0
AZB1225,2010-01-12,16,0,5,0
AZG2343,2010-01-12,8,2,1,1
AZK0622,2010-01-12,8,2,8,1
BAA2451,2010-01-12,15,5,4,2
BAB0518,2010-01-12,10,3,2,2
BAB0541,2010-01-12,16,0,7,0
BAB1619,2010-01-12,7,3,2,1
BAB2968,2010-01-12,8,2,1,0
BAC2914,2010-01-12,9,0,1,0
BAC3730,2010-01-12,2,37,0,8
BAG2641,2010-01-12,16,0,2,0
BAH1259,2010-01-12,22,0,4,0
BAH3684,2010-01-12,5,0,1,0
BAL2366,2010-01-12,9,0,1,0
BAL3618,2010-01-12,2,0,1,0
BAO2928,2010-01-12,9,0,3,0
BAR3420,2010-01-12,30,0,7,0
BAT3066,2010-01-12,18,0,4,0
BAV0390,2010-01-12,5,6,1,1
BAW0780,2010-01-12,23,0,8,0
BAW1019,2010-01-12,8,0,1,0
BBA1230,2010-01-12,19,0,6,0
BBB3612,2010-01-12,6,0,1,0
BBC3733,2010-01-12,7,29,2,5
BBF2388,2010-01-12,45,0,11,0
BBH1056,2010-01-12,24,0,2,0
BBH2509,2010-01-12,10,15,3,4
BBH3587,2010-01-12,0,19,0,6
BBH3779,2010-01-12,20,23,5,4
BBM1701,2010-01-12,5,6,0,1
BBM2604,2010-01-12,2,18,0,6
BBM3688,2010-01-12,2,0,0,0
BBP1093,2010-01-12,14,0,5,0
BBT0062,2010-01-12,5,5,3,0
BBT1948,2010-01-12,4,14,0,6
BBV3875,2010-01-12,17,0,8,0
BBW0594,2010-01-12,15,0,7,0
BCB0294,2010-01-12,7,3,3,1
BCB0521,2010-01-12,18,0,5,0
BCB0909,2010-01-12,32,0,7,0
BCB2072,2010-01-12,17,0,9,0
BCB2676,2010-01-12,14,6,2,1
BCC0456,2010-01-12,23,0,11,0
BCC2536,2010-01-12,26,0,6,0
BCG1029,2010-01-12,24,2,6,2
BCH1138,2010-01-12,16,0,8,0
BCH1656,2010-01-12,32,0,10,0
BCH3651,2010-01-12,6,0,0,0
BCL2082,2010-01-12,14,7,3,2
BCM3794,2010-01-12,34,0,11,0
BCO0877,2010-01-12,2,0,0,0
BCO2338,2010-01-12,31,4,5,1
BCS1604,2010-01-12,16,17,7,6
BCS2912,2010-01-12,2,4,0,1
BCW3480,2010-01-12,9,0,1,0
BCZ1345,2010-01-12,14,0,5,0
BDA1906,2010-01-12,16,0,5,0
BDB2163,2010-01-12,5,0,1,0
BDH0472,2010-01-12,18,0,4,0
BDJ3001,2010-01-12,29,0,8,0
BDJ3326,2010-01-12,5,0,1,0
BDK0854,2010-01-12,0,5,0,0
BDL1065,2010-01-12,13,8,3,4
BDM3662,2010-01-12,0,5,0,1
BDP0031,2010-01-12,5,10,0,4
BDP3912,2010-01-12,5,0,0,0
BDR0510,2010-01-12,17,2,6,0
BDU0497,2010-01-12,5,15,2,5
BDV2474,2010-01-12,18,0,8,0
BDW1459,2010-01-12,18,0,5,0
BEA0311,2010-01-12,2,0,1,0
BEB1022,2010-01-12,19,0,7,0
BEG3521,2010-01-12,23,0,6,0
BEH0103,2010-01-12,20,0,6,0
BEH2307,2010-01-12,11,0,2,0
BEH2967,2010-01-12,4,4,0,1
BEW1426,2010-01-12,15,0,4,0
BFD1111,2010-01-12,6,12,1,4
BFR3250,2010-01-12,19,7,4,0
BGA0892,2010-01-12,6,0,1,0
BGA2301,2010-01-12,8,4,2,1
BGB3045,2010-01-12,17,8,4,1
BGH2610,2010-01-12,14,5,2,1
BGH2861,2010-01-12,2,0,0,0
BGK0603,2010-01-12,0,7,0,0
BGM1226,2010-01-12,15,0,7,0
BGM2545,2010-01-12,8,0,3,0
BGN3820,2010-01-12,7,0,2,0
BGS0751,2010-01-12,24,0,5,0
BGW1739,2010-01-12,11,0,6,0
BHB2598,2010-01-12,15,2,6,1
BHC0492,2010-01-12,16,10,3,1
BHC2049,2010-01-12,0,19,0,6
BHC2344,2010-01-12,3,5,1,2
BHD0598,2010-01-12,8,0,2,0
BHD2088,2010-01-12,17,0,7,0
BHE1709,2010-01-12,27,0,10,0
BHG0258,2010-01-12,11,10,5,3
BHG3238,2010-01-12,11,10,5,3
BHK2196,2010-01-12,5,0,1,0
BHM0430,2010-01-12,24,9,7,1
BHN2290,2010-01-12,12,0,2,0
BHS1917,2010-01-12,17,0,4,0
BHW2476,2010-01-12,13,0,8,0
BIG3946,2010-01-12,0,2,0,1
BIT2790,2010-01-12,3,0,1,0
BJA1137,2010-01-12,4,17,1,7
BJC0366,2010-01-12,7,10,1,5
BJC3423,2010-01-12,32,6,5,1
BJE0351,2010-01-12,12,0,7,0
BJF0511,2010-01-12,12,8,3,1
BJG0662,2010-01-12,15,6,7,1
BJH3294,2010-01-12,2,0,0,0
