User,numAttachmentDay,numAttachmentNight,numSendDay,numSendNight,numRecievedDay,numRecievedNight,numEmailSentwithAttachDay,numEmailSentwithAttachNight,numEmailRecievedwithAttachDay,numEmailRecievedwithAttachNight,numdistinctRecipientsDay,numdistinctRecipientsNight,numinternalRecipientsDay,numinternalRecipientsNight
ACS1921,1879,346,925,175,1685,337,426,78,536,94,793,270,495,163
ACV1946,1316,293,841,227,1652,399,290,76,439,103,820,294,512,177
ACW0426,405,99,291,62,580,112,84,16,153,34,466,176,258,109
ACW0464,991,238,1035,300,1906,573,0,0,475,137,935,337,570,185
ACW1707,1135,484,1174,544,2043,1081,134,48,468,236,960,588,592,370
ADB0350,1357,306,1061,262,2029,453,246,61,426,115,913,297,596,182
ADB1105,591,132,676,177,1210,358,70,16,226,51,440,220,307,156
ADB3853,1432,471,1275,453,2356,821,256,90,454,161,930,412,618,257
ADC1469,1090,180,906,159,1741,300,218,37,337,64,903,243,537,139
ADG1430,1390,632,728,333,1425,621,337,152,351,159,750,383,412,215
ADG1737,2015,621,1298,367,2442,766,431,127,553,186,1042,473,618,257
ADH0975,622,126,315,61,563,105,168,36,180,30,417,136,217,61
ADM0158,1087,229,995,204,1909,376,98,24,470,84,1002,283,648,160
ADM0765,758,117,908,159,1703,336,97,8,301,57,1017,297,648,188
ADM0923,2267,404,1361,300,2692,501,455,97,739,133,953,330,553,186
ADM1894,1447,260,929,172,1741,309,407,87,297,49,860,230,524,135
ADM2762,771,312,791,310,1451,554,0,0,384,146,885,490,500,271
ADP1625,309,63,317,66,546,105,0,0,148,29,465,126,283,77
ADP3667,246,290,84,78,151,184,53,50,74,83,198,193,124,122
ADR1517,245,45,108,19,184,36,73,14,73,16,238,96,148,57
ADS0763,1310,337,899,190,1653,362,399,85,329,85,1066,301,646,181
ADS2428,1242,266,1138,174,2094,409,222,34,418,86,1037,292,651,183
ADS2950,1770,342,1077,190,1909,377,341,70,499,88,661,223,433,131
ADV1640,43,8,40,3,64,13,8,0,15,4,102,31,64,19
ADV2467,636,113,882,187,1705,344,0,0,330,64,944,268,609,166
ADW2832,117,27,92,35,167,52,0,0,56,17,239,90,150,53
AEB1458,1359,255,911,184,1710,319,427,80,254,55,884,215,538,125
AEB3249,588,282,717,351,1361,727,78,37,241,130,595,335,361,186
AEB3574,1536,407,921,294,1753,526,294,91,519,151,840,319,526,196
AED1421,1513,422,846,228,1633,425,287,73,470,131,633,252,391,141
AEF2019,946,308,798,277,1533,519,96,25,410,133,821,369,467,211
AEG1121,935,521,601,348,1120,704,276,150,231,143,750,544,485,317
AEH0187,894,142,779,174,1454,292,94,9,355,66,721,206,424,121
AEH2020,1472,448,799,288,1531,506,276,98,417,115,579,261,330,147
AEK3566,1288,337,869,213,1595,417,215,54,467,111,854,335,528,223
AEM0554,1039,1029,785,781,1398,1450,96,95,409,435,699,760,427,484
AEP1930,1531,331,916,199,1632,382,357,74,415,89,1023,355,666,213
AEW1442,1100,369,808,279,1474,538,206,68,350,118,743,313,489,206
AFB0904,309,62,102,19,180,45,80,13,70,17,249,89,156,50
AFB1626,218,62,320,43,557,122,0,0,106,31,512,157,298,89
AFB3228,1246,548,731,319,1424,645,244,113,402,206,610,327,389,209
AFF1492,249,49,104,21,178,39,63,14,65,15,257,73,172,43
AFH1757,2240,456,1393,277,2662,486,595,124,601,124,1081,233,685,133
AFK3800,1080,390,1320,475,2593,843,0,0,557,184,1118,397,697,234
AFP2247,260,37,93,18,198,32,75,12,61,7,266,83,162,50
AFP2709,908,803,806,690,1463,1325,98,66,348,336,647,577,410,343
AGB0057,1052,296,966,246,1788,453,110,31,447,123,937,364,563,214
AGB3303,145,48,88,30,163,66,22,6,47,16,225,127,151,82
AGC0445,1350,797,796,514,1546,993,166,113,528,321,685,433,429,254
AGE1244,890,339,840,279,1550,463,189,74,294,94,814,282,535,175
AGF0742,1186,428,820,297,1563,529,271,107,369,119,757,369,448,215
AGF1810,1015,371,651,275,1320,498,289,116,251,82,827,457,511,272
AGF2302,292,57,261,62,477,118,0,0,145,32,434,165,248,97
AGG3958,234,152,85,44,138,87,65,36,56,40,208,145,129,87
AGL1301,1147,308,912,189,1684,362,317,75,378,87,634,186,382,110
AGL3519,1434,336,925,174,1639,385,420,77,322,88,739,225,444,132
AGM0133,569,117,1103,245,2039,461,0,0,256,61,864,256,560,148
AGM3372,1433,498,1331,462,2554,902,166,56,584,195,1079,455,647,269
AGM3504,1374,436,1276,418,2420,797,289,89,432,138,995,404,602,242
AGS0063,1422,279,1113,208,2036,405,265,47,425,78,912,230,548,140
AGS2462,762,165,885,195,1654,368,0,0,411,98,1046,320,680,197
AGW1590,2187,632,1325,321,2518,627,443,121,612,161,879,353,557,217
AHB0648,1449,262,888,158,1726,327,319,48,471,90,874,271,551,155
AHC0232,234,67,268,85,553,132,0,0,126,31,471,170,289,97
AHC1994,1173,568,841,382,1568,759,307,139,288,134,770,417,485,253
AHC3277,120,76,78,41,154,78,18,15,40,25,231,123,138,76
AHD2457,1595,302,907,170,1719,330,424,66,434,90,888,232,551,118
AHG1408,551,214,802,286,1508,533,0,0,301,103,764,298,422,176
AHG3997,284,70,99,20,190,40,81,18,57,14,258,72,180,54
AHH0495,1053,371,759,314,1521,527,351,150,238,64,887,409,543,254
AHH1966,761,347,727,378,1368,642,0,0,395,169,720,392,407,219
AHK1988,670,342,699,363,1362,689,70,41,287,140,682,380,425,205
AHM0959,2408,157,1635,133,3220,200,705,58,660,32,1303,161,831,88
AHP0154,545,80,312,49,570,101,168,22,135,18,529,157,320,101
AHS2348,361,86,289,85,497,169,36,10,144,34,494,197,307,106
AIA2005,491,153,478,189,960,413,58,24,210,61,502,312,287,200
AIB0553,977,548,725,378,1356,673,150,83,351,182,688,395,422,241
AIB1567,165,121,84,47,135,82,37,21,53,35,202,166,130,105
AIB3416,2448,473,1463,316,2808,590,472,100,787,157,952,284,598,163
AIC1071,530,102,931,152,1731,324,0,0,289,54,771,205,507,129
AID2774,289,106,95,30,156,70,63,21,83,31,186,110,118,70
AIF1202,887,99,960,119,1848,183,0,0,471,58,1114,240,692,151
AIH2535,456,219,238,122,445,237,109,55,147,69,262,178,146,110
AIJ0383,2607,475,1513,274,2814,562,658,123,685,137,1219,317,752,184
AIJ3995,281,42,95,20,196,36,60,15,72,9,197,74,111,52
AIL2511,1024,327,830,267,1518,489,181,67,345,98,754,294,493,201
AIP1614,278,76,294,66,564,114,33,10,111,29,366,143,219,79
AIS1082,1009,193,933,197,1656,342,100,25,393,85,973,283,609,168
AIT1264,701,148,895,184,1708,337,0,0,358,74,847,225,492,122
AIV3936,312,53,112,18,187,29,89,14,62,9,269,72,175,47
AIY3991,230,56,99,23,184,39,79,18,53,10,244,89,158,50
AJB1380,1576,348,887,210,1612,423,347,67,532,145,602,237,370,138
AJC0722,1144,517,759,345,1335,666,355,147,257,131,671,369,378,202
AJC3010,198,99,251,104,486,214,0,0,110,48,521,286,288,170
AJG0240,505,137,588,135,1104,279,66,19,203,45,460,155,292,94
AJH0279,907,338,793,301,1482,553,90,35,349,125,886,437,513,255
AJH2110,1206,808,641,442,1265,790,238,152,394,235,529,362,341,216
AJH3517,1546,249,908,168,1693,353,442,75,347,68,789,218,496,134
AJK0611,839,185,896,209,1649,380,91,30,282,55,793,299,515,186
AJM0243,815,175,902,204,1697,339,0,0,407,89,994,341,651,193
AJM0345,166,16,97,22,193,33,20,1,55,8,259,80,163,49
AJM2385,2290,681,1668,526,3060,1003,714,231,533,144,1612,696,975,436
AJN1275,1311,248,900,195,1663,380,335,62,357,64,861,234,548,145
AJO2788,249,94,92,28,157,73,76,22,60,27,211,113,137,77
AJP1199,732,67,992,95,1877,175,112,8,245,34,889,171,567,94
AJQ0809,743,341,859,365,1594,643,106,35,328,153,635,340,374,198
AJS0616,652,165,882,187,1684,345,0,0,330,80,1071,283,666,169
AJS3021,2183,1101,1462,709,2753,1369,495,218,683,375,862,491,513,262
AJS3899,1026,274,835,267,1552,483,204,53,333,108,776,290,432,180
AJV0176,880,150,765,117,1510,243,172,26,333,59,966,265,557,148
AJW1246,812,276,825,269,1541,464,74,33,320,103,822,289,565,199
AKB2312,407,298,311,214,563,367,38,29,170,112,472,364,269,218
AKB3530,238,111,115,61,226,121,49,22,72,30,157,111,95,61
AKC1929,1610,294,919,185,1639,367,208,37,456,103,781,304,480,185
AKC3739,2020,910,1320,605,2481,1178,443,193,522,248,1052,557,666,338
AKD0272,1704,691,945,396,1735,758,319,126,513,230,707,369,445,216
AKG2702,1979,208,978,126,1840,171,450,68,565,51,710,146,424,93
AKH0454,2250,1899,1288,1024,2273,1982,456,332,649,595,754,681,435,414
AKH1534,161,12,104,16,197,31,32,3,56,6,233,63,148,41
AKI3229,1009,473,723,368,1344,695,172,89,352,164,675,379,399,209
AKK2125,827,348,888,380,1655,704,89,35,338,148,822,408,486,239
AKL1305,1656,410,876,210,1703,378,310,75,506,120,658,193,378,100
AKL1605,1265,254,1392,288,2603,582,159,30,440,105,895,316,568,192
AKP3573,869,217,580,158,1101,330,118,27,317,97,582,227,352,128
AKS0298,536,51,299,54,599,82,86,14,164,23,610,161,356,91
AKS3496,156,126,169,104,268,201,56,32,45,28,186,133,115,75
AKS3705,216,22,121,10,195,17,52,6,73,6,274,44,176,30
AKW1679,343,136,252,101,485,213,69,34,115,47,439,235,285,144
ALB1254,901,309,681,237,1265,474,154,50,333,98,823,364,531,215
ALB2395,2092,836,1533,698,2847,1220,349,159,733,307,1500,803,916,507
ALB3649,211,119,93,41,152,87,57,32,60,32,227,159,142,102
ALC1060,974,197,1129,204,2081,387,119,24,380,77,1023,275,646,167
ALD3508,841,142,965,139,1732,269,0,0,426,72,796,177,498,107
ALH1494,235,52,100,19,190,41,75,15,47,12,230,80,151,51
ALH1872,1146,350,819,249,1566,503,186,54,402,128,789,315,480,185
ALH2916,355,60,305,58,571,116,35,7,157,27,494,159,317,90
ALL0289,1065,472,750,322,1374,624,245,114,293,130,592,338,386,214
ALN2046,1046,349,858,260,1526,492,198,56,321,120,905,365,599,237
ALP2955,1748,301,1522,271,2955,469,174,29,669,114,1306,298,821,178
ALS2596,690,210,799,282,1500,517,0,0,361,121,757,296,460,159
ALS2669,1316,255,1004,217,1891,377,364,79,362,55,954,260,593,161
ALS3440,1741,365,1597,277,2905,550,150,37,816,148,1196,333,705,195
ALT1354,951,139,949,143,1772,258,103,14,356,59,852,156,530,85
AMA2808,259,161,87,66,168,120,59,38,67,45,222,155,149,111
AMB3100,1673,997,795,545,1508,964,374,235,534,327,615,428,401,276
AMB3208,773,461,728,387,1290,726,181,87,240,145,646,413,392,254
AMD2728,856,399,718,349,1387,666,0,0,401,190,677,365,435,237
AME0732,383,199,257,102,514,173,78,30,130,48,450,232,274,134
AME1361,382,170,729,382,1408,622,0,0,207,84,694,391,408,238
AME1490,160,50,99,22,135,34,30,4,46,19,176,54,107,29
AMH1481,1137,249,933,155,1760,287,214,43,377,68,869,218,502,129
AMH3562,1285,343,819,250,1575,476,184,60,470,131,774,301,478,169
AMJ2374,2442,763,1275,390,2389,727,548,185,644,189,954,464,609,285
AMJ3174,723,96,503,92,936,150,110,22,230,35,542,145,336,79
AMM0734,1010,253,866,233,1586,443,199,50,348,105,994,432,652,288
AMM3906,877,342,816,286,1506,547,98,31,333,139,700,339,398,201
AMN0911,2293,432,1492,295,2809,589,477,98,722,129,1188,363,683,201
AMO0582,1135,416,789,281,1509,534,200,75,408,143,833,327,525,209
AMR0197,1008,280,809,256,1565,476,81,24,411,135,889,336,566,191
AMS0630,896,526,708,393,1377,685,160,97,273,155,724,396,424,232
AMS0712,450,124,270,94,490,170,115,33,121,32,264,164,160,103
ANB0938,436,160,309,70,502,166,123,33,122,43,449,200,286,98
ANB2766,430,207,265,107,432,235,111,41,116,69,313,181,200,101
ANC1319,1677,269,950,157,1678,328,414,69,424,75,841,233,504,130
ANC1834,606,250,806,284,1474,537,0,0,343,140,759,309,478,177
ANC1950,1061,668,743,468,1368,862,224,175,356,214,566,400,324,236
ANF3332,254,104,98,29,162,60,67,22,69,26,219,93,141,59
ANH2482,1665,179,981,93,1842,204,435,38,433,54,958,156,621,98
ANH3059,1053,320,842,239,1608,451,222,62,334,107,765,277,480,164
ANK0777,636,101,920,169,1739,259,0,0,350,51,1127,279,734,165
ANL3024,2417,501,1340,316,2606,549,598,140,781,144,789,256,504,154
ANM0564,1008,580,707,384,1319,704,245,131,361,212,589,321,369,201
ANO2653,1827,432,868,204,1635,425,394,96,488,129,651,266,379,159
AOC0982,634,146,294,60,567,119,157,31,176,35,406,169,224,78
AOD2178,283,72,101,26,174,41,84,20,52,11,260,96,158,53
AOM1457,1329,265,1029,219,1924,324,356,87,309,52,948,263,562,143
AOP1542,119,26,107,18,196,30,0,0,57,9,266,78,171,44
APA1788,1048,555,707,388,1317,739,235,151,320,149,543,356,325,190
APB1122,1230,834,652,421,1279,800,234,166,383,261,682,484,424,305
APB3823,326,278,287,226,502,444,35,27,116,112,446,383,279,233
APC3043,1399,428,1007,357,1881,585,250,77,498,160,1018,364,581,194
APD0381,2044,331,1518,249,2948,524,328,63,756,117,1246,292,741,157
APH2985,449,44,294,54,612,69,83,15,145,14,487,132,299,81
APM0190,963,603,811,540,1470,993,185,111,295,217,792,579,476,358
APP1054,889,166,740,131,1329,257,174,30,271,57,812,223,504,132
APP1996,565,255,735,374,1397,646,0,0,301,125,705,392,417,245
APP2488,956,128,1007,100,1824,192,118,13,374,51,652,137,401,71
APP3678,247,128,72,39,157,81,57,23,57,39,220,138,140,87
APS1968,1199,644,748,386,1435,733,259,136,385,187,658,441,363,275
APS3553,679,146,937,187,1627,387,0,0,318,79,865,226,523,125
APS3701,132,6,113,9,215,11,0,0,74,5,268,36,142,21
ARB0208,2256,126,2086,109,3789,223,466,21,738,47,1665,213,1057,140
ARB2515,1073,208,937,154,1738,296,95,12,427,89,855,203,520,112
ARB3934,115,17,108,17,179,44,19,3,50,8,247,100,157,61
ARC1223,1097,307,856,251,1545,488,204,58,325,92,1020,425,599,231
ARC1725,2511,867,1204,450,2353,804,551,195,652,220,1072,531,674,318
ARC2809,152,58,93,31,168,57,20,6,54,21,230,99,163,67
ARC3034,2068,410,1393,285,2635,513,459,101,655,117,825,252,480,157
ARF0575,1078,501,771,301,1448,623,179,79,376,166,751,372,488,219
ARG0441,1843,1124,818,514,1564,956,335,235,558,325,622,417,366,236
ARG3554,1004,219,862,207,1666,363,213,50,322,57,808,219,486,116
ARH1610,1685,435,1487,328,2814,583,291,81,571,130,1162,323,664,179
ARH2097,1390,349,907,191,1691,342,304,76,422,103,627,206,389,116
ARH2262,1628,531,1367,419,2594,875,156,43,713,220,1166,429,750,250
ARJ0912,2601,341,1602,216,2944,468,712,87,745,102,1252,270,684,143
ARK3198,1301,787,813,500,1608,845,270,179,371,197,545,347,318,223
ARL2672,689,99,885,201,1704,340,0,0,384,54,810,188,514,120
ARM0076,260,68,296,67,533,143,0,0,158,34,469,182,282,108
ARM0771,673,194,872,195,1732,349,0,0,345,86,1065,350,655,211
ARP1144,2041,380,891,208,1682,353,412,86,611,116,648,211,403,125
ARS3506,1162,299,913,179,1677,375,227,42,374,90,817,223,460,131
ARV0704,1125,335,833,236,1554,449,279,71,290,97,868,331,514,184
ARW0818,825,728,751,627,1489,1123,77,90,362,270,752,601,457,375
ARW1507,163,28,93,18,202,35,19,3,55,13,282,97,162,64
ARZ3464,694,211,316,86,588,170,132,42,184,59,392,152,258,101
ASC0177,1408,278,905,196,1689,340,311,73,419,78,842,295,545,174
ASD0993,940,565,1070,630,2027,1162,0,0,459,270,1114,782,675,478
ASD3348,130,38,85,34,164,60,0,0,67,20,240,126,140,79
ASF1136,887,119,994,132,1807,230,0,0,433,68,900,172,515,90
ASG0072,1170,404,1246,446,2395,790,274,80,370,120,1199,552,764,341
ASH0142,766,294,763,301,1473,592,158,75,227,90,737,355,475,214
ASH1710,1942,568,1636,517,3066,1004,182,46,844,253,1544,664,903,417
ASK0599,473,152,865,260,1550,487,0,0,250,86,772,303,508,180
ASK2349,390,114,281,90,527,141,78,28,127,38,512,197,299,116
ASM3771,1412,475,1395,413,2608,809,297,93,430,149,1126,444,676,251
ASM3925,233,34,96,31,176,43,48,9,63,14,245,93,143,58
ASP2895,1201,213,1539,270,2890,497,0,0,633,118,1241,310,732,167
ASS0120,1330,590,757,360,1377,652,343,153,341,179,790,445,457,266
ASS0280,1486,488,818,272,1505,519,374,122,359,140,819,360,501,204
ASS2760,1013,363,780,307,1484,552,178,79,323,137,758,345,419,195
ASW1918,1573,339,1000,223,1832,396,344,62,451,98,913,308,568,174
ATB1273,1904,288,941,163,1773,249,434,67,515,69,645,152,417,88
ATC0218,623,290,750,343,1394,648,0,0,337,142,680,397,422,226
ATC1587,2331,452,1461,335,2833,539,649,144,547,96,1194,309,738,181
ATD0146,2164,418,1443,269,2623,514,473,86,736,139,1120,368,709,243
ATF3708,97,6,35,1,45,2,29,1,18,2,94,6,53,4
ATF3951,141,11,107,22,187,36,0,0,63,6,289,82,184,48
ATH0225,2045,999,1285,686,2478,1150,409,236,635,275,1070,670,661,395
ATH0720,933,341,790,324,1518,537,193,77,315,97,745,299,409,162
ATM1003,1149,253,1819,344,3423,646,0,0,590,121,1722,508,1051,306
ATM1615,727,248,301,115,577,243,137,54,201,65,398,238,236,142
ATP2680,732,335,344,179,658,363,166,88,214,103,403,288,249,191
ATR1677,212,131,251,138,474,262,34,18,86,57,362,244,223,141
ATR2560,692,241,809,266,1549,529,0,0,367,129,736,312,477,196
ATR3231,663,305,739,367,1338,714,0,0,327,167,705,422,475,254
ATT0293,1512,465,1011,309,1898,635,326,107,404,132,652,271,377,153
ATT1191,1192,541,1056,574,2021,1104,130,62,472,240,1110,665,680,407
AUA0826,816,329,794,251,1492,549,0,0,421,177,766,340,451,207
AUG2242,228,55,105,23,184,34,48,14,65,12,271,76,170,46
AUI2464,1387,292,908,195,1697,330,400,95,310,59,1035,305,635,176
AUR1359,497,261,751,371,1355,668,0,0,251,134,834,502,515,325
AVC2328,1309,505,1339,484,2488,926,164,56,538,202,1112,510,659,285
AVH0566,1316,658,734,345,1378,675,246,109,391,183,565,326,344,198
AVH2360,367,104,270,79,507,184,0,0,168,54,440,196,257,117
AVH3584,529,378,641,444,1185,828,0,0,285,197,582,445,364,290
AVP3044,1087,350,1034,317,1911,573,0,0,542,175,940,350,585,199
AVS2317,2178,803,1222,460,2310,883,517,181,673,252,863,409,512,256
AVT0526,1550,217,904,136,1707,264,387,61,453,66,1129,292,703,184
AVV2056,265,145,798,304,1457,591,0,0,172,78,701,389,498,251
AWB2282,2011,810,1283,512,2419,967,429,162,631,266,1033,506,622,296
AWH2466,535,71,627,117,1200,181,0,0,288,41,816,208,529,127
AWM2286,614,143,285,75,539,138,154,45,162,37,440,162,255,99
AWV0836,682,223,461,136,899,227,94,36,235,69,499,165,300,94
AWW0254,605,106,830,145,1552,256,0,0,291,55,982,253,622,129
AXL0479,421,77,252,61,462,109,59,18,140,28,466,172,286,103
AXW3243,1039,803,854,632,1527,1190,302,220,271,200,718,581,422,339
AYA3962,128,60,67,47,152,80,0,0,69,36,211,155,126,96
AYD2775,278,217,92,86,176,143,58,56,79,64,197,169,121,101
AYL1635,260,75,302,46,611,93,0,0,134,29,498,123,274,70
AYP3586,1003,693,678,453,1226,790,288,216,232,160,611,431,364,255
AYS0110,783,331,743,336,1390,628,0,0,366,172,701,368,448,225
AYS1628,630,116,286,68,596,94,121,28,162,27,398,119,205,59
AZA1012,1879,734,1603,612,2990,1106,337,117,703,280,1224,597,742,377
AZB1225,1017,304,813,268,1534,491,204,66,335,112,878,368,538,218
AZG2343,586,219,249,83,458,138,122,52,180,49,332,167,203,90
AZK0622,1278,555,765,352,1419,640,336,167,410,158,634,330,380,195
BAA2451,1124,235,910,193,1660,365,126,18,458,106,775,201,472,117
BAB0518,806,287,764,325,1460,566,178,63,258,92,883,465,531,292
BAB0541,2040,127,1027,67,1905,131,489,30,581,39,871,101,527,63
BAB1619,704,116,298,65,551,115,154,35,175,32,378,157,238,93
BAB2968,443,70,318,49,604,76,84,15,146,21,512,123,317,70
BAC2914,248,45,248,39,416,91,0,0,122,21,383,145,238,82
BAC3730,1003,432,1239,595,2241,1190,0,0,491,251,959,613,549,309
BAG2641,1801,279,935,149,1715,299,436,74,512,79,676,189,415,111
BAH1259,839,271,856,244,1546,479,106,34,297,94,981,376,632,248
BAH3684,125,16,121,7,193,19,0,0,62,8,303,45,207,32
BAL2366,632,211,291,90,486,165,137,47,172,61,343,193,175,120
BAL3618,318,46,103,15,188,38,81,12,93,20,241,70,142,53
BAO2928,457,129,220,50,362,109,97,23,114,36,265,127,158,71
BAR3420,2564,449,1468,265,2700,523,619,102,668,136,1115,300,631,173
BAT3066,1483,454,836,261,1556,467,381,118,441,144,565,243,298,134
BAV0390,549,127,269,81,460,126,145,38,115,31,411,153,233,80
BAW0780,682,317,952,362,1739,700,108,45,254,102,876,424,544,251
BAW1019,314,60,308,47,569,121,0,0,164,29,600,218,376,129
BBA1230,1104,395,803,292,1530,510,240,97,308,111,997,391,613,255
BBB3612,190,40,102,24,168,52,47,12,40,13,210,93,118,55
BBC3733,1490,704,1244,603,2363,1075,271,130,520,218,1034,546,642,311
BBF2388,1175,248,1786,348,3411,677,0,0,639,127,1765,514,1039,301
BBH1056,682,216,1069,253,2061,443,0,0,392,92,933,283,554,159
BBH2509,1319,473,790,278,1424,623,351,112,401,165,575,304,398,199
BBH3587,943,592,680,412,1245,816,256,142,251,179,626,427,384,287
BBH3779,1529,606,1297,507,2441,997,311,98,493,215,1044,532,655,317
BBM1701,378,159,264,114,461,217,74,29,120,52,387,220,232,118
BBM2604,1263,509,792,293,1483,580,276,95,375,134,626,333,363,196
BBM3688,130,17,118,9,212,10,0,0,73,4,311,36,214,27
BBP1093,1619,306,909,165,1698,343,399,79,464,87,982,307,618,182
BBT0062,1207,304,1373,291,2685,513,138,34,504,95,1030,347,639,226
BBT1948,643,251,752,351,1406,616,81,41,243,102,581,313,343,181
BBV3875,849,244,846,208,1566,463,77,20,354,117,727,242,464,138
BBW0594,876,434,811,321,1432,582,265,119,205,97,702,374,424,225
BCB0294,637,191,886,205,1627,425,0,0,327,99,753,226,479,125
BCB0521,1789,315,989,166,1746,385,346,48,517,99,827,285,482,167
BCB0909,2459,449,1514,305,2826,547,689,125,707,121,1206,329,730,177
